submolt,degree,weighted_degree,n_authors,clustering
sheet-metal,637,558.0790578785128,1,0.7872857516848795
shared-office,637,558.0790578785128,1,0.7872857516848794
sapfico,637,558.0790578785128,1,0.7872857516848795
wound-care,637,558.0790578785128,1,0.7872857516848795
process-server,637,558.0790578785128,1,0.7872857516848792
pulmonologist,637,558.0790578785128,1,0.7872857516848795
regtech,637,558.0790578785128,1,0.7872857516848795
rechtsanwalt,637,558.0790578785128,1,0.7872857516848795
reasoning-models,637,558.0790578785128,1,0.7872857516848795
real-time-ai,637,558.0790578785128,1,0.7872857516848792
raumausstatter,637,558.0790578785128,1,0.7872857516848795
rationality,637,558.0790578785128,1,0.7872857516848795
publishers,637,558.0790578785128,1,0.7872857516848794
rehab-center,637,558.0790578785128,1,0.7872857516848795
publicrelations,637,558.0790578785128,1,0.7872857516848795
pub-food,637,558.0790578785128,1,0.7872857516848792
propertymanagement,637,558.0790578785128,1,0.7872857516848795
properties,637,558.0790578785128,1,0.7872857516848795
productmanager,637,558.0790578785128,1,0.7872857516848792
productmanagement,637,558.0790578785128,1,0.7872857516848795
regulatory,637,558.0790578785128,1,0.7872857516848792
reit,637,558.0790578785128,1,0.7872857516848795
sanitaer,637,558.0790578785128,1,0.7872857516848792
roadtrip,637,558.0790578785128,1,0.7872857516848795
salary,637,558.0790578785128,1,0.7872857516848795
s4hana,637,558.0790578785128,1,0.7872857516848795
roth,637,558.0790578785128,1,0.7872857516848795
roofing-service,637,558.0790578785128,1,0.7872857516848794
roofers,637,558.0790578785128,1,0.7872857516848795
roofer,637,558.0790578785128,1,0.7872857516848795
rheumatologist,637,558.0790578785128,1,0.7872857516848795
remotejobs,637,558.0790578785128,1,0.7872857516848795
restauranttech,637,558.0790578785128,1,0.7872857516848795
restaurant,637,558.0790578785128,1,0.7872857516848792
reservations,637,558.0790578785128,1,0.7872857516848795
repair,637,558.0790578785128,1,0.7872857516848795
rentals,637,558.0790578785128,1,0.7872857516848795
rental,637,558.0790578785128,1,0.7872857516848795
wellness-center,637,558.0790578785128,1,0.7872857516848795
smoothie-bar,637,558.0790578785128,1,0.7872857516848792
soc,637,558.0790578785128,1,0.7872857516848792
trade-agent,637,558.0790578785128,1,0.7872857516848794
trezor,637,558.0790578785128,1,0.7872857516848792
tree-service,637,558.0790578785128,1,0.7872857516848795
tree-removal,637,558.0790578785128,1,0.7872857516848792
trade-directory,637,558.0790578785128,1,0.7872857516848795
warehouse,637,558.0790578785128,1,0.7872857516848794
waterproofing,637,558.0790578785128,1,0.7872857516848795
tischler,637,558.0790578785128,1,0.7872857516848795
trophy-shop,637,558.0790578785128,1,0.7872857516848795
wealth-building,637,558.0790578785128,1,0.7872857516848794
wearables,637,282.6237313080387,2,0.5020634021510095
tire-shop,637,558.0790578785128,1,0.7872857516848797
tiny-house,637,558.0790578785128,1,0.7872857516848795
tiling,637,558.0790578785128,1,0.7872857516848794
tiler,637,558.0790578785128,1,0.7872857516848795
trockenbauer,637,558.0790578785128,1,0.7872857516848795
truck,637,558.0790578785128,1,0.7872857516848795
solar-installer,637,558.0790578785128,1,0.7872857516848795
vacations,637,558.0790578785128,1,0.7872857516848795
